1,H,Hydrogen,1.08
2,He,Helium,4.02
3,Li,Lithium,6.94
4,Be,Beryllium,9.01
5,B,Boron,10.81
6,C,Carbon,12.01
7,N,Nitrogen,14.07
8,O,Oxygen,15.99
9,F,Fluorine,18.99
10,Ne,Neon,20.18
11,Na,Sodium,22.99
12,Mg,Magnesium,24.30
13,Al,Aluminium,26.98
14,Si,silicon,28.06
15,P,phosphorus,30.97
16,S,sulphur,32.06
17,Cl,chlorine,35.45
18,Ar,argon,39.94
19,K,potassium,39.09
20,Ca,calcium,40.07
31,Ga,gallium,69.72
32,Ge,germanium,72.61
33,As,arsenic,74.92
34,Se,selenium,78.96
35,Br,bromine,79.90
36,Kr,krypton,83.80
37,Rb,rubidium,85.46
38,Sr,strontium,87.62
49,In,indium,114.82
50,Sn,tin,118.71
51,Sb,antimony,121.76
52,Te,tellurium,127.60
53,I,iodine,126.90
54,Xe,xenon,131.29
55,Cs,Caesium,132.90545
56,Ba,Barium,137.327
81,Tl,Thallium ,204.3833
82,Pb,Lead,207.2
83,Bi,Bismuth,208.9804
84,Po,Polonium,209
85,At,Astatine,210
86,Rn,Randon,222
87,Fr,Francium,223
88,Ra,Radium,226
113,Nh,Nihonium,286
114,Fl,Flerovium,289
115,Mc,Moscovium,Mc,290
116,Lv,Livermorium,293
117,Ts,Tennessine,294
118,Og,Oganesson,294